k,Cluster,n,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Moisture
3,0,220,7.212,7.07,6.927,7.204,7.221,7.06,9.482,9.388,9.759,0.117
3,1,270,7.833,7.855,7.741,7.859,7.801,7.856,9.932,9.941,9.799,0.107
3,2,583,7.56,7.518,7.389,7.497,7.478,7.497,9.948,9.98,9.978,0.109
4,0,177,7.207,7.081,6.93,7.198,7.203,7.069,9.728,9.909,9.951,0.118
4,1,43,7.233,7.023,6.911,7.227,7.297,7.022,8.466,7.241,8.971,0.112
4,2,270,7.833,7.855,7.741,7.859,7.801,7.856,9.932,9.941,9.799,0.107
4,3,583,7.56,7.518,7.389,7.497,7.478,7.497,9.948,9.98,9.978,0.109
5,0,177,7.207,7.081,6.93,7.198,7.203,7.069,9.728,9.909,9.951,0.118
5,1,43,7.233,7.023,6.911,7.227,7.297,7.022,8.466,7.241,8.971,0.112
5,2,270,7.833,7.855,7.741,7.859,7.801,7.856,9.932,9.941,9.799,0.107
5,3,34,7.578,7.584,7.5,7.604,7.561,7.575,9.784,9.882,9.902,0.033
5,4,549,7.558,7.514,7.382,7.491,7.473,7.492,9.959,9.987,9.983,0.114
6,0,177,7.207,7.081,6.93,7.198,7.203,7.069,9.728,9.909,9.951,0.118
6,1,43,7.233,7.023,6.911,7.227,7.297,7.022,8.466,7.241,8.971,0.112
6,2,18,7.736,7.75,7.652,7.763,7.769,7.727,9.963,9.963,7.584,0.113
6,3,252,7.839,7.863,7.748,7.866,7.803,7.865,9.93,9.939,9.957,0.106
6,4,34,7.578,7.584,7.5,7.604,7.561,7.575,9.784,9.882,9.902,0.033
6,5,549,7.558,7.514,7.382,7.491,7.473,7.492,9.959,9.987,9.983,0.114
